ascon-decryption,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,
7.19,